epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,514.488,0.52596,0.9118,1.33424,0.90393,0.96965,0.19832,0.42464,0.38057,0.96965,0.19832,0.41697,0.32308,0.51462,1.42652,2.69799,0.86766,0.000263356,0.000263356,0.000263356
40,527.235,0.48815,0.8618,1.14011,0.88107,0.96965,0.19832,0.42464,0.38057,0.96965,0.19832,0.41697,0.32308,0.51462,1.42652,2.69799,0.86766,0.000265997,0.000265997,0.000265997
41,539.811,0.52761,0.88931,1.1904,0.87996,0.95939,0.20628,0.42665,0.37495,0.95939,0.20628,0.41345,0.31998,0.53976,1.42793,2.65733,0.8728,0.000268418,0.000268418,0.000268418
42,552.516,0.48693,0.86412,1.10727,0.86797,0.95939,0.20628,0.42665,0.37495,0.95939,0.20628,0.41345,0.31998,0.53976,1.42793,2.65733,0.8728,0.000270618,0.000270618,0.000270618
43,565.109,0.52828,0.98135,1.21513,0.86238,0.96118,0.22565,0.42139,0.3676,0.96118,0.22565,0.42165,0.30734,0.5672,1.5177,2.61277,0.88254,0.000272599,0.000272599,0.000272599
44,578.349,0.5374,0.89635,1.21411,0.93327,0.96118,0.22565,0.42139,0.3676,0.96118,0.22565,0.42165,0.30734,0.5672,1.5177,2.61277,0.88254,0.00027436,0.00027436,0.00027436
45,591.192,0.5624,0.93284,1.238,0.94048,0.95561,0.23803,0.41152,0.35757,0.95561,0.23803,0.41403,0.31578,0.55964,1.47166,2.59877,0.87667,0.000275901,0.000275901,0.000275901
46,603.752,0.47952,0.77874,1.10364,0.87232,0.95561,0.23803,0.41152,0.35757,0.95561,0.23803,0.41403,0.31578,0.55964,1.47166,2.59877,0.87667,0.000277222,0.000277222,0.000277222
47,616.589,0.47637,0.7775,1.10257,0.87206,0.95719,0.27357,0.40839,0.36547,0.95779,0.27292,0.39412,0.31957,0.53239,1.43051,2.60607,0.87018,0.000278323,0.000278323,0.000278323
48,629.484,0.49967,0.7877,1.11429,0.87138,0.95719,0.27357,0.40839,0.36547,0.95779,0.27292,0.39412,0.31957,0.53239,1.43051,2.60607,0.87018,0.000279204,0.000279204,0.000279204
49,643.183,0.46308,0.80721,1.10546,0.87569,0.96759,0.28796,0.44966,0.39709,0.95894,0.27967,0.43364,0.34995,0.54646,1.4203,2.60896,0.8752,0.000279865,0.000279865,0.000279865
50,657.222,0.46833,0.85987,1.08566,0.87819,0.96759,0.28796,0.44966,0.39709,0.95894,0.27967,0.43364,0.34995,0.54646,1.4203,2.60896,0.8752,0.000280306,0.000280306,0.000280306
51,670.274,0.51296,0.81852,1.08098,0.84582,0.97902,0.31069,0.53368,0.47139,0.95396,0.2932,0.48948,0.38544,0.56555,1.52653,2.5807,0.87927,0.000280527,0.000280527,0.000280527
52,682.955,0.52702,0.8042,1.12727,0.90545,0.97902,0.31069,0.53368,0.47139,0.95396,0.2932,0.48948,0.38544,0.56555,1.52653,2.5807,0.87927,0.000280529,0.000280529,0.000280529
53,695.987,0.47836,0.77833,1.0406,0.83774,0.97902,0.31069,0.53368,0.47139,0.95396,0.2932,0.48948,0.38544,0.56555,1.52653,2.5807,0.87927,0.00028031,0.00028031,0.00028031
54,708.552,0.48076,0.7223,1.01696,0.88245,0.97546,0.32926,0.57531,0.51213,0.95037,0.31301,0.51343,0.39388,0.56346,1.6343,2.54168,0.87992,0.000279871,0.000279871,0.000279871
55,721.21,0.4584,0.72708,1.00801,0.87781,0.97546,0.32926,0.57531,0.51213,0.95037,0.31301,0.51343,0.39388,0.56346,1.6343,2.54168,0.87992,0.000279212,0.000279212,0.000279212
56,733.82,0.44127,0.68534,0.96458,0.8387,0.97546,0.32926,0.57531,0.51213,0.95037,0.31301,0.51343,0.39388,0.56346,1.6343,2.54168,0.87992,0.000278333,0.000278333,0.000278333
57,746.509,0.49041,0.84169,1.01909,0.86691,0.97143,0.32805,0.57712,0.51494,0.92776,0.29472,0.50531,0.39278,0.55432,1.62738,2.46882,0.87242,0.000277234,0.000277234,0.000277234
58,760.016,0.47299,0.76503,1.02831,0.85676,0.97143,0.32805,0.57712,0.51494,0.92776,0.29472,0.50531,0.39278,0.55432,1.62738,2.46882,0.87242,0.000275916,0.000275916,0.000275916
59,773.207,0.40845,0.64676,0.94104,0.84626,0.97143,0.32805,0.57712,0.51494,0.92776,0.29472,0.50531,0.39278,0.55432,1.62738,2.46882,0.87242,0.000274377,0.000274377,0.000274377
60,786.041,0.43383,0.66584,0.95017,0.84782,0.96313,0.33415,0.57939,0.52086,0.92549,0.30081,0.52417,0.40163,0.52137,1.49956,2.37411,0.86612,0.000272618,0.000272618,0.000272618
61,799.808,0.43101,0.6853,0.96472,0.84442,0.96313,0.33415,0.57939,0.52086,0.92549,0.30081,0.52417,0.40163,0.52137,1.49956,2.37411,0.86612,0.00027064,0.00027064,0.00027064
62,815.229,0.46393,0.66496,1.00017,0.85467,0.96313,0.33415,0.57939,0.52086,0.92549,0.30081,0.52417,0.40163,0.52137,1.49956,2.37411,0.86612,0.000268441,0.000268441,0.000268441
63,828.663,0.43018,0.69169,0.93241,0.86281,0.99457,0.33239,0.59539,0.53374,0.99457,0.33239,0.56883,0.44389,0.50249,1.35656,2.30522,0.86415,0.000266022,0.000266022,0.000266022
64,842.002,0.4551,0.72659,0.98831,0.90335,0.99457,0.33239,0.59539,0.53374,0.99457,0.33239,0.56883,0.44389,0.50249,1.35656,2.30522,0.86415,0.000263384,0.000263384,0.000263384
65,854.799,0.42014,0.71069,0.94137,0.87278,0.99457,0.33239,0.59539,0.53374,0.99457,0.33239,0.56883,0.44389,0.50249,1.35656,2.30522,0.86415,0.000260525,0.000260525,0.000260525
66,868.225,0.44277,0.72252,0.9469,0.86272,0.97423,0.34302,0.63504,0.57508,0.97526,0.34216,0.62257,0.49205,0.50522,1.38601,2.23808,0.86888,0.000257446,0.000257446,0.000257446
67,881.375,0.42124,0.64233,0.91553,0.86613,0.97423,0.34302,0.63504,0.57508,0.97526,0.34216,0.62257,0.49205,0.50522,1.38601,2.23808,0.86888,0.000254148,0.000254148,0.000254148
68,894.408,0.43425,0.72711,0.94285,0.86596,0.97423,0.34302,0.63504,0.57508,0.97526,0.34216,0.62257,0.49205,0.50522,1.38601,2.23808,0.86888,0.000250629,0.000250629,0.000250629
69,907.957,0.41946,0.64216,0.90526,0.87063,0.97158,0.34766,0.64382,0.57248,0.97242,0.33599,0.61202,0.48531,0.50136,1.51774,2.1782,0.8756,0.000246891,0.000246891,0.000246891
70,920.408,0.42375,0.63341,0.85453,0.84361,0.97158,0.34766,0.64382,0.57248,0.97242,0.33599,0.61202,0.48531,0.50136,1.51774,2.1782,0.8756,0.000242932,0.000242932,0.000242932
71,934.158,0.43505,0.72311,0.88529,0.8351,0.97158,0.34766,0.64382,0.57248,0.97242,0.33599,0.61202,0.48531,0.50136,1.51774,2.1782,0.8756,0.000238754,0.000238754,0.000238754
72,946.923,0.44211,0.64275,0.89746,0.83438,0.919,0.3723,0.66406,0.58693,0.9744,0.3465,0.59794,0.47285,0.50616,1.92155,2.1356,0.87405,0.000234355,0.000234355,0.000234355
73,960.346,0.46304,0.734,0.89789,0.88112,0.919,0.3723,0.66406,0.58693,0.9744,0.3465,0.59794,0.47285,0.50616,1.92155,2.1356,0.87405,0.000229737,0.000229737,0.000229737
74,974.307,0.43201,0.6901,0.86189,0.88274,0.919,0.3723,0.66406,0.58693,0.9744,0.3465,0.59794,0.47285,0.50616,1.92155,2.1356,0.87405,0.000224899,0.000224899,0.000224899
75,987.234,0.39236,0.68676,0.87772,0.85812,0.9847,0.36418,0.67721,0.60366,0.9847,0.36418,0.6186,0.45955,0.49659,2.24925,2.11582,0.87194,0.00021984,0.00021984,0.00021984
76,1000.8,0.43632,0.75671,0.88314,0.87318,0.9847,0.36418,0.67721,0.60366,0.9847,0.36418,0.6186,0.45955,0.49659,2.24925,2.11582,0.87194,0.000214562,0.000214562,0.000214562
77,1013.99,0.45931,0.6632,0.8795,0.83964,0.9847,0.36418,0.67721,0.60366,0.9847,0.36418,0.6186,0.45955,0.49659,2.24925,2.11582,0.87194,0.000209064,0.000209064,0.000209064
78,1026.37,0.42284,0.68361,0.86455,0.83741,0.8953,0.38577,0.70228,0.62805,0.96624,0.36774,0.62721,0.48219,0.49728,2.00346,2.05255,0.86994,0.000203345,0.000203345,0.000203345
79,1039.19,0.42472,0.6611,0.84661,0.85275,0.8953,0.38577,0.70228,0.62805,0.96624,0.36774,0.62721,0.48219,0.49728,2.00346,2.05255,0.86994,0.000197407,0.000197407,0.000197407
80,1052.34,0.43606,0.65904,0.89409,0.87551,0.8953,0.38577,0.70228,0.62805,0.96624,0.36774,0.62721,0.48219,0.49728,2.00346,2.05255,0.86994,0.000191249,0.000191249,0.000191249
81,1066.12,0.42143,0.61798,0.9183,0.85971,0.89707,0.41872,0.73635,0.65603,0.89707,0.41571,0.68806,0.5213,0.50035,1.78543,1.98036,0.87485,0.00018487,0.00018487,0.00018487
82,1079.46,0.41995,0.70732,0.86543,0.85691,0.89707,0.41872,0.73635,0.65603,0.89707,0.41571,0.68806,0.5213,0.50035,1.78543,1.98036,0.87485,0.000178272,0.000178272,0.000178272
83,1092.91,0.39952,0.6072,0.79804,0.8527,0.89707,0.41872,0.73635,0.65603,0.89707,0.41571,0.68806,0.5213,0.50035,1.78543,1.98036,0.87485,0.000171454,0.000171454,0.000171454
84,1106.4,0.39849,0.6154,0.79988,0.84045,0.88528,0.42162,0.75955,0.67846,0.88608,0.42082,0.70893,0.54542,0.49179,1.68049,1.89983,0.87197,0.000164416,0.000164416,0.000164416
85,1119.95,0.40856,0.63257,0.82354,0.84068,0.88528,0.42162,0.75955,0.67846,0.88608,0.42082,0.70893,0.54542,0.49179,1.68049,1.89983,0.87197,0.000157158,0.000157158,0.000157158
86,1132.95,0.40342,0.67602,0.87642,0.85774,0.88528,0.42162,0.75955,0.67846,0.88608,0.42082,0.70893,0.54542,0.49179,1.68049,1.89983,0.87197,0.000149679,0.000149679,0.000149679
87,1146.02,0.40291,0.66711,0.83429,0.83653,0.88528,0.42162,0.75955,0.67846,0.88608,0.42082,0.70893,0.54542,0.49179,1.68049,1.89983,0.87197,0.000141981,0.000141981,0.000141981
88,1159.36,0.41665,0.58324,0.823,0.82896,0.88609,0.50191,0.77078,0.68682,0.88651,0.49891,0.72572,0.56587,0.48228,1.56418,1.79884,0.86876,0.000134063,0.000134063,0.000134063
89,1173.1,0.39991,0.61398,0.81231,0.83808,0.88609,0.50191,0.77078,0.68682,0.88651,0.49891,0.72572,0.56587,0.48228,1.56418,1.79884,0.86876,0.000125925,0.000125925,0.000125925
90,1186.41,0.38272,0.6342,0.79991,0.81781,0.88609,0.50191,0.77078,0.68682,0.88651,0.49891,0.72572,0.56587,0.48228,1.56418,1.79884,0.86876,0.000117567,0.000117567,0.000117567
91,1199.49,0.38167,0.57935,0.79908,0.84629,0.88609,0.50191,0.77078,0.68682,0.88651,0.49891,0.72572,0.56587,0.48228,1.56418,1.79884,0.86876,0.000108989,0.000108989,0.000108989
92,1212.32,0.3857,0.58649,0.80188,0.85637,0.84884,0.57537,0.77247,0.69654,0.84884,0.57537,0.76493,0.58349,0.47639,1.42795,1.70023,0.86975,0.000100191,0.000100191,0.000100191
93,1225.78,0.3965,0.58052,0.79603,0.8163,0.84884,0.57537,0.77247,0.69654,0.84884,0.57537,0.76493,0.58349,0.47639,1.42795,1.70023,0.86975,9.11731e-05,9.11731e-05,9.11731e-05
94,1239.08,0.37874,0.5923,0.77104,0.84796,0.84884,0.57537,0.77247,0.69654,0.84884,0.57537,0.76493,0.58349,0.47639,1.42795,1.70023,0.86975,8.19351e-05,8.19351e-05,8.19351e-05
95,1253.64,0.38309,0.60523,0.754,0.83943,0.84884,0.57537,0.77247,0.69654,0.84884,0.57537,0.76493,0.58349,0.47639,1.42795,1.70023,0.86975,7.24772e-05,7.24772e-05,7.24772e-05
96,1266.45,0.38374,0.56997,0.74114,0.82321,0.84059,0.61808,0.78013,0.70183,0.83196,0.61199,0.7744,0.60022,0.47667,1.35562,1.60783,0.87118,6.27993e-05,6.27993e-05,6.27993e-05
97,1279.14,0.4156,0.63962,0.87754,0.85343,0.84059,0.61808,0.78013,0.70183,0.83196,0.61199,0.7744,0.60022,0.47667,1.35562,1.60783,0.87118,5.29014e-05,5.29014e-05,5.29014e-05
98,1291.77,0.39862,0.59856,0.79273,0.85844,0.84059,0.61808,0.78013,0.70183,0.83196,0.61199,0.7744,0.60022,0.47667,1.35562,1.60783,0.87118,4.27835e-05,4.27835e-05,4.27835e-05
99,1304.54,0.35637,0.56609,0.77996,0.83322,0.84059,0.61808,0.78013,0.70183,0.83196,0.61199,0.7744,0.60022,0.47667,1.35562,1.60783,0.87118,3.24456e-05,3.24456e-05,3.24456e-05
100,1317.14,0.36936,0.56277,0.75216,0.84158,0.84836,0.63619,0.78134,0.7036,0.83969,0.6301,0.77541,0.61208,0.47585,1.30981,1.52168,0.87278,2.18878e-05,2.18878e-05,2.18878e-05
